split,domain,kind,anomaly_type,image_path,mask_path,source_path,mask_kind,mask_scale,augmentation
train,mms_rpi,clean,good,train/images/mms_rpi__train__clean__IMG_0102__000.png,train/masks/mms_rpi__train__clean__IMG_0102__000.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0102.png,zero,,zoom-none+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0102__000.png,train/masks/mms_rpi__train__synthetic__IMG_0102__000.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0102.png,scratch_cluster,1,zoom-none+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0102__001.png,train/masks/mms_rpi__train__synthetic__IMG_0102__001.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0102.png,scratch_cluster,1,zoom-none+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0102__002.png,train/masks/mms_rpi__train__synthetic__IMG_0102__002.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0102.png,scratch_cluster,4,zoom-none+bg-recolor
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0102__003.png,train/masks/mms_rpi__train__synthetic__IMG_0102__003.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0102.png,scratch_cluster,5,zoom-none+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0102__004.png,train/masks/mms_rpi__train__synthetic__IMG_0102__004.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0102.png,scratch,4,zoom-none+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0102__005.png,train/masks/mms_rpi__train__synthetic__IMG_0102__005.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0102.png,scratch_cluster,4,zoom-none+bg-recolor
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0102__006.png,train/masks/mms_rpi__train__synthetic__IMG_0102__006.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0102.png,scratch,5,zoom-none+bg-recolor
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0102__007.png,train/masks/mms_rpi__train__synthetic__IMG_0102__007.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0102.png,scratch_cluster,4,zoom-in-1.12+bg-none
train,mms_rpi,clean,good,train/images/mms_rpi__train__clean__IMG_0020__000.png,train/masks/mms_rpi__train__clean__IMG_0020__000.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0020.png,zero,,zoom-none+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0020__000.png,train/masks/mms_rpi__train__synthetic__IMG_0020__000.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0020.png,scratch,1,zoom-in-1.18+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0020__001.png,train/masks/mms_rpi__train__synthetic__IMG_0020__001.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0020.png,blob,4,zoom-none+bg-recolor
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0020__002.png,train/masks/mms_rpi__train__synthetic__IMG_0020__002.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0020.png,scratch_cluster,4,zoom-none+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0020__003.png,train/masks/mms_rpi__train__synthetic__IMG_0020__003.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0020.png,blob,3,zoom-none+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0020__004.png,train/masks/mms_rpi__train__synthetic__IMG_0020__004.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0020.png,scratch,3,zoom-none+bg-none
train,mms_rpi,synthetic,synthetic,train/images/mms_rpi__train__synthetic__IMG_0020__005.png,train/masks/mms_rpi__train__synthetic__IMG_0020__005.png,/Users/tomhaidinger/Documents/max78000/TinyGLASS/datasets/tinyglass_mmdataset/mms_rpi/train/good/IMG_0020.png,scratch_cluster,3,zoom-none+bg-none
